"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
23523389,-58,36,"Observatorio Ambiental Granadilla;Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta","1018;410;496","2009-02-06","2015-09-04",89,3,1,,,,"7305:458","POLYGON((-58 35,-59 35,-59 36,-58 36,-58 35))"
23523391,-58,37,"Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta","1018;410","2014-03-29","2015-08-31",60,2,1,,,,"7305:468","POLYGON((-58 36,-59 36,-59 37,-58 37,-58 36))"
23449528,-58,37,"Proyecto Aegina (Canary Islands)","Caretta caretta","347","2007-07-25","2007-07-25",1,1,1,,,,"7305:478","POLYGON((-58 37,-59 37,-59 38,-58 38,-58 37))"
23461551,-58,40,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta","2133;410","2008-02-05","2014-06-29",17,3,1,,,,"7305:498","POLYGON((-58 39,-59 39,-59 40,-58 40,-58 39))"
23525891,-58,41,"Fundacion Oceanografic;Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta;Lepidochelys kempii","1018;2133;410","2008-02-04","2015-05-20",95,5,2,,,,"7405:208","POLYGON((-58 40,-59 40,-59 41,-58 41,-58 40))"
23464247,-58,42,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta","2133;410","2012-10-26","2014-07-06",25,2,1,,,,"7405:218","POLYGON((-58 41,-59 41,-59 42,-58 42,-58 41))"
23350156,-59,42,"Fundacion Oceanografic","Caretta caretta","2133","2014-07-10","2014-07-10",1,1,1,,,,"7405:228","POLYGON((-58 42,-59 42,-59 43,-58 43,-58 42))"
23343654,-59,56,"Judith Zbinden","Caretta caretta","1923","2005-11-05","2005-11-05",1,1,1,,,,"7505:468","POLYGON((-58 56,-59 56,-59 57,-58 57,-58 56))"
6398198,-58,-38,"Diego Albareda-PRICTMA","Chelonia mydas","441","2008-04-29","2009-02-08",7,3,1,,,,"5305:487","POLYGON((-57 -38,-57 -39,-58 -39,-58 -38,-57 -38))"
6398193,-57,-37,"Diego Albareda-PRICTMA","Chelonia mydas","441","2008-05-01","2009-02-17",15,3,1,,,,"5305:477","POLYGON((-57 -37,-57 -38,-58 -38,-58 -37,-57 -37))"
23336282,-57,-36,"Diego Albareda-PRICTMA","Caretta caretta","1907","2009-01-14","2012-12-10",56,5,1,,,,"5305:467","POLYGON((-57 -36,-57 -37,-58 -37,-58 -36,-57 -36))"
23335913,-57,-35,"Diego Albareda-PRICTMA","Caretta caretta;Chelonia mydas","1907;441","2008-05-27","2012-12-26",809,7,2,,,,"5305:457","POLYGON((-57 -35,-57 -36,-58 -36,-58 -35,-57 -35))"
23335212,-57,-34,"Diego Albareda-PRICTMA","Caretta caretta","1907","2010-11-30","2011-02-06",29,1,1,,,,"5305:247","POLYGON((-57 -34,-57 -35,-58 -35,-58 -34,-57 -34))"
